objectid,length,name,oneway,fnode,tnode,,,,,,,,
"19,294",263,COURTNEY, ,171367186028,171630186017,,,,,,,,
"2,401",268,CHAPEL, ,171924186222,171874186484,,,,,,,,
"17,707",269,ACADEMY, ,171448186773,171427186505,,,,,,,,
"19,386",270,HAINES, ,171635186792,171662186524,,,,,,,,
"19,277",273,PARK, ,171626185914,171354185925,,,,,,,,
"19,338",279,WINSLOW, ,171098186275,170819186273,,,,,,,,
"19,406",279,SYPHERD, ,170230186765,169986186896,,,,,,,,
"19,459",279,DALLAM, ,169448187152,169586187319,,,,,,,,
"17,688",281,BENNY, ,171799186187,171749186464,,,,,,,,
"19,809",284,RAY,y,171014187319,170732187330,,,,,,,,
"19,508",284,WHITE CLAY, ,171072187612,171345187551,,,,,,,,
"2,441",287,CLEVELAND, ,170739187182,171025187194,,,,,,,,
"19,713",291,TIMBER CREEK, ,169155187439,169209187221,,,,,,,,
"2,403",306,APPLE, ,170139186518,170353186303,,,,,,,,
"19,348",309,HAINES, ,171668186455,171759186213,,,,,,,,
"2,440",309,COLLEGE, ,171055186886,171025187194,,,,,,,,
"17,690",312,BEVERLY, ,170642186273,170536186497,,,,,,,,
"19,319",321,COLLEGE, ,169715186144,169951186129,,,,,,,,
"31,826",325,THORN, ,169391185984,169643186130,,,,,,,,
"19,405",342,WILSON, ,169796186619,169986186896,,,,,,,,
"19,374",343,HILLSIDE, ,170464186655,170163186528,,,,,,,,
"1,202",356,DELAWARE,y,171094186738,171448186773,,,,,,,,
"19,397",367,COLGATE, ,169281186666,169584186849,,,,,,,,
"40,558",368,MAIN,y,171458186923,171092186888,,,,,,,,
"19,299",376,THORN, ,169931185836,169688186110,,,,,,,,
381,382,MAIN, ,170055187289,170397187120,,,,,,,,
"19,431",389,DALLAM, ,169977187138,170321186959,,,,,,,,
"17,730",393,BRIAR, ,169797187227,169684186865,,,,,,,,
"19,417",394,HARVARD, ,169279186767,169601186964,,,,,,,,
"17,708",399,BENT, ,169283186581,169607186793,,,,,,,,
"19,380",405,HULLIHEN, ,169882186584,170173186644,,,,,,,,
"17,723",467,CHELTENHAM, ,169668186764,170042186972,,,,,,,,
"17,691",481,ACADEMY, ,171427186505,171367186028,,,,,,,,
"2,345",516,CLEVELAND, ,171671187337,172184187320,,,,,,,,
390,546,MAIN, ,169241187685,169732187447,,,,,,,,
"2,402",630,BARKSDALE, ,169520186422,170139186518,,,,,,,,
"2,610","3,020",COLLEGE, ,171072187612,170559190414,,,,,,,,
